epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5931.91,1.07309,0.58667,0.97908,0.96326,0.9537,0.97892,0.71707,1.06195,0.45851,1.00251,0.000187538,0.000187538,0.000187538
43,6071.77,1.06346,0.57882,0.97196,0.95948,0.96732,0.98114,0.73328,1.00703,0.42774,0.99483,0.000186937,0.000186937,0.000186937
44,6211.96,1.0709,0.57677,0.97181,0.96453,0.95529,0.98814,0.74328,0.98799,0.4346,0.99117,0.000186323,0.000186323,0.000186323
45,6352.8,1.04608,0.58038,0.96904,0.97858,0.95747,0.98969,0.73942,0.99757,0.42746,0.99923,0.000185695,0.000185695,0.000185695
46,6492.24,1.03752,0.57172,0.95959,0.96665,0.96669,0.98572,0.74397,0.97252,0.42074,0.97612,0.000185055,0.000185055,0.000185055
47,6631.27,1.04203,0.56302,0.96796,0.97914,0.97364,0.99118,0.74085,0.97589,0.40599,0.99326,0.000184403,0.000184403,0.000184403
48,6771.08,1.04037,0.56301,0.96602,0.97333,0.96732,0.98505,0.75114,0.93924,0.41047,0.98558,0.000183737,0.000183737,0.000183737
49,6911.35,1.03174,0.55807,0.96305,0.98172,0.97347,0.9869,0.74647,0.99628,0.40811,0.99275,0.000183059,0.000183059,0.000183059
50,7050.48,1.02196,0.55451,0.95326,0.98125,0.96837,0.98327,0.73992,1.00999,0.40364,0.99205,0.000182369,0.000182369,0.000182369
51,7190.41,1.01095,0.54154,0.96048,0.98293,0.96595,0.98505,0.74897,0.94668,0.40146,0.98092,0.000181666,0.000181666,0.000181666
52,7330.3,1.01146,0.54161,0.95735,0.97167,0.97115,0.98795,0.75645,0.95126,0.40505,0.97826,0.00018095,0.00018095,0.00018095
53,7470.5,1.02882,0.54989,0.95986,0.97614,0.96472,0.9835,0.7549,0.95342,0.41533,0.9759,0.000180223,0.000180223,0.000180223
54,7611.22,1.01039,0.53594,0.9587,0.97695,0.97289,0.99069,0.75997,0.94859,0.39674,0.98523,0.000179484,0.000179484,0.000179484
55,7750.87,1.00923,0.54792,0.95494,0.97221,0.97347,0.99037,0.76279,0.95279,0.39883,0.9686,0.000178732,0.000178732,0.000178732
56,7890.92,0.99399,0.52928,0.94504,0.98347,0.96472,0.98638,0.74722,0.98019,0.40954,0.9716,0.000177969,0.000177969,0.000177969
57,8030.74,0.98826,0.53266,0.93976,0.9787,0.96923,0.98745,0.74799,0.9816,0.40689,0.96213,0.000177194,0.000177194,0.000177194
58,8171.54,0.98767,0.52519,0.94383,0.96881,0.97616,0.98936,0.75501,0.94751,0.39677,0.9798,0.000176408,0.000176408,0.000176408
59,8312.38,0.99584,0.53269,0.95017,0.97649,0.97238,0.98923,0.75756,0.93974,0.39321,0.96966,0.00017561,0.00017561,0.00017561
60,8453.9,0.97998,0.51301,0.95023,0.9813,0.9684,0.98811,0.75716,0.92665,0.39244,0.96483,0.000174801,0.000174801,0.000174801
61,8594.74,0.98992,0.51754,0.94461,0.98006,0.9744,0.98889,0.76772,0.90502,0.39204,0.96137,0.000173981,0.000173981,0.000173981
62,8736.08,0.96479,0.51395,0.94134,0.98253,0.97036,0.98821,0.76318,0.93373,0.39479,0.96869,0.00017315,0.00017315,0.00017315
63,8875.07,0.96104,0.51905,0.94059,0.9727,0.97715,0.99004,0.76656,0.9354,0.39061,0.97031,0.000172307,0.000172307,0.000172307
64,9015.13,0.98015,0.51198,0.94503,0.97692,0.9727,0.9893,0.75717,0.93467,0.39237,0.97255,0.000171454,0.000171454,0.000171454
65,9155.92,0.96171,0.51749,0.93882,0.97963,0.96784,0.98584,0.77244,0.8998,0.39617,0.95472,0.000170591,0.000170591,0.000170591
66,9295.24,0.95052,0.49908,0.9312,0.98357,0.9725,0.9914,0.78212,0.9005,0.38101,0.9581,0.000169717,0.000169717,0.000169717
67,9435.14,0.94533,0.49899,0.93223,0.97328,0.98038,0.98935,0.77042,0.91818,0.38706,0.96802,0.000168832,0.000168832,0.000168832
68,9575.61,0.96543,0.51542,0.93935,0.98236,0.98021,0.99017,0.7692,0.91049,0.37684,0.96272,0.000167937,0.000167937,0.000167937
69,9716.91,0.96386,0.50769,0.94069,0.98587,0.97177,0.99049,0.77251,0.9148,0.37906,0.95825,0.000167032,0.000167032,0.000167032
70,9857.09,0.93752,0.48565,0.92499,0.99213,0.97592,0.99042,0.78036,0.89655,0.37289,0.94484,0.000166117,0.000166117,0.000166117
71,9996.33,0.95434,0.48993,0.93188,0.98262,0.97663,0.9877,0.78113,0.88575,0.37924,0.95083,0.000165193,0.000165193,0.000165193
72,10135.2,0.93829,0.49797,0.92106,0.98437,0.97976,0.98849,0.78758,0.8789,0.3775,0.94912,0.000164258,0.000164258,0.000164258
73,10275.2,0.93325,0.49384,0.93258,0.98291,0.9746,0.99182,0.77737,0.87745,0.36617,0.96259,0.000163315,0.000163315,0.000163315
74,10415.1,0.92919,0.48639,0.93884,0.98647,0.9769,0.9909,0.78557,0.88662,0.36866,0.97558,0.000162361,0.000162361,0.000162361
75,10556.1,0.9444,0.49514,0.93911,0.99209,0.96993,0.99118,0.7796,0.88145,0.37733,0.95287,0.000161399,0.000161399,0.000161399
76,10695.7,0.92651,0.48823,0.92583,0.98205,0.97238,0.99171,0.79028,0.8636,0.37168,0.94942,0.000160427,0.000160427,0.000160427
77,10835.6,0.92144,0.48408,0.92333,0.98736,0.96907,0.9924,0.7895,0.86957,0.36612,0.95692,0.000159447,0.000159447,0.000159447
78,10976,0.92205,0.48553,0.93127,0.98961,0.97263,0.99142,0.79461,0.85676,0.35752,0.95234,0.000158458,0.000158458,0.000158458
79,11117.4,0.92219,0.4826,0.93046,0.98818,0.97853,0.99258,0.78811,0.85595,0.35422,0.95614,0.00015746,0.00015746,0.00015746
80,11257.4,0.90896,0.47027,0.92833,0.99339,0.97224,0.99211,0.79891,0.84983,0.3558,0.95198,0.000156454,0.000156454,0.000156454
81,11398.4,0.90843,0.47373,0.92536,0.98572,0.96981,0.99126,0.79593,0.83588,0.35389,0.93382,0.000155439,0.000155439,0.000155439
82,11538.5,0.90705,0.46707,0.91875,0.9841,0.96855,0.98853,0.79431,0.83695,0.35861,0.9376,0.000154417,0.000154417,0.000154417
83,11678.3,0.90767,0.47007,0.92344,0.98033,0.97172,0.98841,0.79008,0.83463,0.35829,0.94224,0.000153386,0.000153386,0.000153386
84,11816.8,0.90329,0.46413,0.92426,0.98498,0.97383,0.98954,0.79405,0.82854,0.35228,0.93517,0.000152348,0.000152348,0.000152348
85,11956.5,0.90234,0.47425,0.92009,0.98404,0.98002,0.99282,0.79726,0.84505,0.36215,0.93107,0.000151302,0.000151302,0.000151302
86,12097.5,0.89792,0.47308,0.91378,0.98701,0.97709,0.99278,0.79898,0.82821,0.35611,0.9356,0.000150248,0.000150248,0.000150248
87,12237.2,0.89486,0.46547,0.92025,0.99319,0.97471,0.9928,0.80568,0.82215,0.34912,0.93943,0.000149188,0.000149188,0.000149188
88,12377.2,0.90017,0.4619,0.92242,0.99605,0.97238,0.9933,0.79778,0.83477,0.34279,0.94222,0.00014812,0.00014812,0.00014812
